Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,strain,tissue,create_date,version,AssemblyName,dangling_references (run)
SRR9126830,3,RNA-Seq,200,2462460000,PRJNA544748,SAMN11854855,Model organism or animal,803063171,CZ BIOHUB,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",months postnatal,SRX5900787,Illumina NovaSeq 6000,E7_384Bulk_Plate2_S103,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-06-19T00:00:00Z,E7_384Bulk_Plate2,male,SRP199494,C57/BL223,BAT_16,2019-05-25T17:21:00Z,1,,
SRR9127006,27,RNA-Seq,200,4129936000,PRJNA544748,SAMN11854725,Model organism or animal,1278771519,CZ BIOHUB,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",months postnatal,SRX5901283,Illumina NovaSeq 6000,C3_384Bulk_Plate3_S51,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-06-19T00:00:00Z,C3_384Bulk_Plate3,male,SRP199494,C57/BL92,BAT_5,2019-05-25T17:38:00Z,1,,
SRR9127098,27,RNA-Seq,200,519629200,PRJNA544748,SAMN11855463,Model organism or animal,155181428,CZ BIOHUB,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",months postnatal,SRX5901191,Illumina NovaSeq 6000,P12_384Bulk_Plate1_S372,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-06-19T00:00:00Z,P12_384Bulk_Plate1,male,SRP199494,C57/BL840,BAT_19,2019-05-25T17:37:00Z,1,,
SRR9127150,27,RNA-Seq,200,6074209800,PRJNA544748,SAMN11855255,Model organism or animal,1898156794,CZ BIOHUB,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",months postnatal,SRX5901139,Illumina NovaSeq 6000,L3_384Bulk_Plate2_S267,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-06-19T00:00:00Z,L3_384Bulk_Plate2,male,SRP199494,C57/BL631,BAT_30,2019-05-25T17:50:00Z,1,,
SRR9127228,3,RNA-Seq,200,2450701200,PRJNA544748,SAMN11854764,Model organism or animal,760056996,CZ BIOHUB,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",months postnatal,SRX5901061,Illumina NovaSeq 6000,D16_384Bulk_Plate1_S88,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-06-19T00:00:00Z,D16_384Bulk_Plate1,male,SRP199494,C57/BL131,BAT_53,2019-05-25T17:49:00Z,1,,
SRR9127269,27,RNA-Seq,200,6818553800,PRJNA544748,SAMN11854595,Model organism or animal,2109601953,CZ BIOHUB,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",months postnatal,SRX5901020,Illumina NovaSeq 6000,A2_384Bulk_Plate3_S2,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-06-19T00:00:00Z,A2_384Bulk_Plate3,male,SRP199494,C57BL/6,BAT_34,2019-05-25T17:59:00Z,1,,
SRR9127370,3,RNA-Seq,200,4441327200,PRJNA544748,SAMN11854914,Model organism or animal,1399031990,CZ BIOHUB,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",months postnatal,SRX5901530,Illumina NovaSeq 6000,F7_384Bulk_Plate2_S127,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-06-19T00:00:00Z,F7_384Bulk_Plate2,male,SRP199494,C57/BL283,BAT_28,2019-05-25T18:01:00Z,1,,
SRR9125616,27,RNA-Seq,200,5142555600,PRJNA544748,SAMN11854595,Model organism or animal,641930993,CZ BIOHUB,public,"sra,bam,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",months postnatal,SRX5899814,Illumina NovaSeq 6000,A2_384Bulk_Plate3_S2,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-06-19T00:00:00Z,A2_384Bulk_Plate3,male,SRP199494,C57BL/6,BAT_34,2019-05-28T11:46:00Z,1,GCA_000001635.8,treat_as_unmapped
SRR9125763,27,RNA-Seq,200,3080059600,PRJNA544748,SAMN11854725,Model organism or animal,389979030,CZ BIOHUB,public,"bam,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",months postnatal,SRX5899667,Illumina NovaSeq 6000,C3_384Bulk_Plate3_S51,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-06-19T00:00:00Z,C3_384Bulk_Plate3,male,SRP199494,C57/BL92,BAT_5,2019-05-28T13:29:00Z,1,GCA_000001635.8,treat_as_unmapped
SRR9125959,27,RNA-Seq,200,5075510200,PRJNA544748,SAMN11855255,Model organism or animal,609422229,CZ BIOHUB,public,"run.zq,bam,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",months postnatal,SRX5900082,Illumina NovaSeq 6000,L3_384Bulk_Plate2_S267,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-06-19T00:00:00Z,L3_384Bulk_Plate2,male,SRP199494,C57/BL631,BAT_30,2019-05-28T14:31:00Z,1,GCA_000001635.8,treat_as_unmapped
